,tweet
5315174,I've fallen in deep.
10116608,Really hoping i get my license thursday or friday
4514700,I found a fake diamond ring in the basement yesterday and am currently wearing it as a promise ring because FUCK BOYS
9740816,When you can't remember the drive from point a to point b...
5257173,This has been a rough day
5015032,Thankful for beer
3980731,Just causally dying in my dorm room. Alone.
7249825,"If tonight is an accident, then tomorrow we'll recover."
715951,I never trust my instinct and end up regretting it. Will I ever learn \ud83d\ude01
10412484,Cinnamon + honey in coffee is the best thing ever. 10/10. Highly recommend.
2089178,"Note to self, if one feels the onset of a headache do NOT eat a cheeseburger with chilli cheese fries #andcreamsoda #lifelessons"
5678245,thxgivin parade \ud83c\udf42\ud83c\udf57
26838,Never thought I would hate to eat \ud83d\ude22 #sucks
6590734,Danielle said I was gonna roast tn
9337524,\ud83d\udd25And that fireball whiskey whispers temptation in my ear\ud83d\udd25
8586371,@duflockaGrant yes...it was a classy dinner
2446018,"\u201c@urmindblown: When a mosquito is biting you, flex that muscle it's on and it will explode.\u201dmy goal for the summer"
4827502,worst . friday . ever . cool
414378,"We lost ourselves in the bright lights, I wish you could've seen us"
1593706,So glad to be getting back together with all my friends!:) @AbB3yH3lTon14 @MarisaFrench18 @madisonfarmerr @cheyennej12 #LoveYouGirls \ud83d\ude18
3643878,I wish you could be happy with me..
8734021,And just for the hell of it Verizon wireless can suck it
8219426,Deleted my snapchat; remembered why I deleted it the first time. #annoying #sorrynotsorry
8145327,Stocking up on books/poetry for the beach #nerdproblems
649888,Dropped my home again it has shattered into even more pieces. Lets just sa home button is hanging by some glue. Amazingly it still works
5565730,"I gotta get like two shots today , drug screen and physical to get the job at the hospital ."
3677257,@theCapster_01 great movie
9024824,"I honestly think if it wasn't for Step Brothers, half of civilization wouldn't know what #SharkWeek was. To the rest of you, carry on."
1796891,"\""@iIllumiinati: Too many people miss the silver lining because they're expecting gold.\"""
4496779,@JaneTrench That's the end of an era!
4503493,I remember when @Chillhelmy88 and I where at the out of town tournament and we where messing everything up in the hotel lmao. #Yolo
1278028,I may or may not have melted the carpet on accident with my straightening iron \ud83d\ude33\ud83d\ude06
6647163,Feels good to have your hw done &amp; be in bed at a reasonable time. Less stress is the best.
11029784,@treeezyyy I would just like to take a moment to thank god for this lovely parking space so close to the door\u2764\ufe0f
7110697,I need to quit with the road rage and speeding as if this mornings incident wasn't enough to scare me.
11455689,Thankful 2013 is coming to an end #deuces \u270c\ufe0f
1366423,People noticing I've been working out. Consistency and hard work is paying off...#feelinhellacool \ud83d\udc4d
3711548,"@SadieHeinz cars make parents more crazy, trust me... Get a nice bike #Seriously"
7184503,@BRITT_MITCH44 SO JEALOUS #takemewithyou
1311192,I'm becoming more and more like my parents everyday #ScaryThought
2042515,Good thing this barstool is warm.  Playoff hockey...gotta love it #leafsvbruins
10873082,"Why have I been driving for like half hour to get to this bitched house lmao, pissed at Sydney!"
9310935,@morgandyches are you in town yet?
3367085,"Can't wait for the weekend! Boyfriend, friends, alcohol, bars, fishing, and relaxing in the sun #perfection"
6980317,After lunch...all downhill from here #working
3913264,Absolutely No motivation for school
8944277,Even at Culver I never had homework done before midnight....and I'm done before 10 #prepared
10437288,As long as the Father grants me a breathe of life every time I wake up. I will not have a dull day cause gratefulness now is felt better.
11294965,Hope I get to go to the varsity game Tuesday night
1088471,I just realized I'll be sleeping alone tonight . \ud83d\ude29\ud83d\ude29\ud83d\ude29 first time in about a month
6534952,Now the cops are talking to security. Guess the guys were causing trouble.
11142446,The futures generation is the insparation to my motivation
3399601,@ddlorig dude that has to be by farrrr the funniest thing I've heard!
5043326,Me and this bathroom have a date!!
5291304,@E1Henson complete with two dogs too!
3136733,It's a 2k kind of night
3316235,Their unconscious goal is to confuse you when they are actually confused themselves.
10100437,Finished Leg 3! James did a nice Easy 4.3 miles in 00:34:00 (00:07:54 pace).
6877183,I just hope this week goes by very fast
803753,I'm exhausted #ImGettingOld
9467852,"Coming up US1 from St Aug, knowing our destination is the stadium, I'm getting tingles. #Jaguars #Camp"
10974650,Why is there so much hate in the world?
5946623,Miller is throwing a fit in here and it is so embarrassing.
8519529,With my favorite person tonight \ud83d\udc9c\ud83d\ude0d @Bella_LoPiccolo
7289371,We are not one in the same
5611,Its a beautiful day:) #sunshine #praiseGod
7207432,I can't wait until the weekend !!
8105037,I want to live a hippie life #mydream
10016655,"Why have I heard \""everything has changed\"" come on the radio 4 times today. I know things have changed, thanks."
2945405,Just took a five hour nap.
12210056,Watching the little mermaid for the second time today! 3 days @chrissgomezz_
6728053,Tennessee bound!
11321109,"\""I roll with my kitties and I'm hard as fuck\"""
731779,Got this years softball schedule. Can't believe it's my last year playing.
3381711,@CarolCNN  verlander dropping two game in a row Caroline!! Ha ha ha #epic   He is supposed to be the ace!
8436483,Watching two faced people BE two faced people amazes me \ud83d\ude33
453996,@MattMcGrath55 hahahaha first kid to be white and not be a kfc lover and first to not have a flat top hair cur
23345,I love blackkkk for evening
7403544,@Zach_Zip_Irland they have the best french toast
6010874,"Continental breakfast? Well yes ,yes I will"
10711294,\u201c@ARichWorld: that awkward moment when on spirit day you (current RCC student) were that junior chanting RCC..\u201d Me and and @JacquelynnnG
8112270,Going to see Monsters University in 3D tonight! Yayayayay!
12499247,@w_b_w_43 @KendylKaelene_ Bahaha I'm home studying or I would have been the first person to snap chat her \ud83d\ude02\ud83d\ude1c
6137294,"I slapboxed Michael once, biggest mistake he ever made in his life."
6922048,I enjoy scrambled eggs served as a topping for my fried eggs. Eggs.
10353601,@dandillon11 I witnessed that and was confused
12479365,@HaleyyyK hell probably spill the beans or crush our heads with beer cans
2129956,@MmmD0nuts @IanM1871 I could do but find it easier (and probably more legal) to send a mate down to the bookies
6401237,@_BITCH_ImBatman true. How's your semester going?
9298576,I can't wait for the warren game
6771416,#FunFact Moonshine won't give you a hangover
4656468,Great way to end a great weekend? #BreakingBad
9700512,"\""@ThoseIowaBoys: A big butt in no way means a nice butt. I prefer my cottage cheese to be kept in the fridge, not your ass cheeks.\"""
6287483,@tylerjamesdyer you're in Fbla too??
9643601,I see hostess is back in business and making twinkies. American people you have been had yet again.
792240,"A pleasant drive under crisp blue SoCal skies, and the reminder that clean air (remarkably) brings vistas measured in miles not blocks."
3831117,@l_bowring you're not!!!1!!
12463429,Last night was a blast. Love being reunited with the Valley kids. \ud83d\udc95
9398313,"One day you're here, one day you're there."
2803174,@ClydeHyde I don't think you ever resembled Taylor
5881769,I wake up every morning looking forward to napping
11697255,@NateGillan1 I don't think I've heard of one band playing at Warped so far \ud83d\ude12\ud83d\ude2a
7624310,@laylooloo1 \u26c4\ud83d\udca9 so you're frozen poop?
3831536,Timber just tried to get LuLu...
3015722,@rzimmermanjr @BarackObama @FoxNews Obama having this conversation will help us set aside differences and come together.
10796325,How am I supposed to study knowing there's 9 four week old puppies feet away from me
8897718,By does Shark Week have to be this week\ud83d\ude11
5182877,If I knew what to actually study that would probably help..
3234578,Eeeep can't wait to see my roomie today! @kathleeniggy
9441415,The Stories Being Tweeted Are More In Detail In Person. I Can Promise You That
11294207,@me777_me agree 100%! Loved both performances.
983766,Abbie is a happy camper \ud83d\ude03
7538288,Haven't tweeted in like 5 hours
10641379,\u201c@lfallu: I basically live in spandex..\u201d
1897000,@MarquisEmbody apparently were playing at the drumathon....
7548518,I should have an advice column. #forrealtho
10822478,@swvnk___ let's ride to the pool
7082900,"\""Can we carry around folders and pretend we're admitted students\"" uhhhhhh kk @Lys_Sunshine"
7875054,6 hours left for restoring my phone \ud83d\udc4c (with Jamie)
4980842,"I hate it when people ask me who hunter moore is, you know how to use google, bitch."
3621702,Pizza Cottage \ud83d\ude0d
1002124,Working a 12 hour day tomorrow. Please come see me. I'll die.
4855982,How to end cyber-bullying step 1: shut your computer off and get off the Internet #problemsolved ignore it
6661626,Where is Lisa and Brandi. Too much @KyleRichards18 is annoying #RHOBH
2939240,Killing time at the hotel before going to see my old house for the last time. #californiaorbust
9018066,@kaylaburr_ Miss you too! Are you living off campus again?
8574523,Going to Conners baseball game #prodigy
4120346,The snap chat I just got from @FritzPawelka \ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37\ud83d\ude37
12041000,"You can stay away from me now, thanks! \u270c\ufe0f#shutupplease #bye"
2499845,like why would you tweet that? you're sick. you're an animal.
6946566,Put some faith in me and someday you'll see there's a diamond under all this dust
8573763,Rolling dope in the jeep #swag
2815021,@iamchickadeeee Kate and I have decided now that you're talk you should go into modeling. Jsyk.
8537118,@Tito506 hey if it's only with the vet minimum which is what he deserves I'm good.
832264,when does age become just a number?
11122242,FINALLY a new episode of #AHSCoven \ud83d\udc80\ud83d\udd2e
10522687,Our planet is so beautiful\ud83d\ude2d
10628849,"@Sabanocchio If UGA beats UF, UF beats USCjr, Auburn beats UGA, A&amp;M beats Mizzou, &amp; Vols win out then we will be in the SECCG."
6607037,Why does everyone have to be so bossy this early in the morning? #chillTFout
133880,You're allowed to look as long as you don't touch..
1196407,"\""@heauuustin96: Couldn't be more confused right now\"""
11085890,@hillseanpaul well I suppose I COULD...probably wouldn't be the best of decisions though.
10124913,You're like the most beautiful girl ever but your personality is way to shitty get that fixed and we will work something out \ud83d\ude18
8703789,I want soup and ice cream and titanic please thanks.
1153253,According to @maryautumnn I'm frustrating and I don't understand.
4497358,75\u00b0 for this game vs 117\u00b0 at the last game? I'll take it!
4780267,Great Run Kasey!
3910719,Fright fest is a must this year.
8470912,That's the dumbest thing anyone has ever lied to me about. What was the point? It's not like I'm going to tell on your or something biotchhh
3567353,I'm so lame. #Desperate
10034810,Might bring the best friend food later from work
4464681,I'm looking for a 3 and a 3
5181905,Today is going to be a good day! #icanfeelit
1018734,I Hope The Rock Beats CM Punk Tonight To Become The New WWE Champion....And I Hope Ryback Wins The Rumble Match!!!
4345328,\u201c@Birdpoop2: laying in bed with klumpp talking about our sex\u201d  @acardarella_  life
3275631,#FavoriteMovie Without A Paddle &amp; #beer \ud83c\udfac\ud83c\udfa5\ud83c\udf7a
3744958,Found the bud light..Bad biitchex like me is hard to come by
11482769,I am so blessedddd. Wow \nIt amazes me what God does just for me\u2764\ufe0f\ud83d\ude18 I loveeee him
2248851,It takes a fucked up person to do that. #sorry
5876978,@FeliciaBisconti cannot come any sooner \ud83c\udf3b
2924753,Things just keep getting worse and worse.
4667494,I feel like Beedee should still live down Fish Creek Road
11062633,Your thoughts and actions today should align with your goals and ambitions of tomorrow.
8188310,My new bed the floor
2014553,"Highway to heaven, I'm taking the scenic."
2231090,"\""@alyssaaaa321__: I watched that vine like 10 times the least.\"" Thank you ?"
1129540,@PilarSanders Duck Dynasty is calling us!
6444268,Cardio is done. Now for abs and arms.
11726704,When you get something JUST because you have a coupon and you forget to use it &lt;&lt;&lt;&lt; \ud83d\ude12
6559712,@VeeckAsInWreck $9.95 a month takes care of that BS. Might I suggest Spotify though? Deeper catalog... Offline syncing.
5138248,Driving down Cary with this construction bs is about to make me lose my mind. Up in here. Up in here. \ud83d\ude23\ud83d\udc79
7036661,Brooke is sexting in the library \ud83d\ude33\ud83d\ude33\ud83d\ude33
2665201,@scrmblngscholar right in front of you lol duh bffs become soulmates duh :)
8037145,@jotarullo13 lets go to the quarry this week
7159545,@ShaleaAshton I hope I'm right too lol..I don't underestimate him but on the same note he is messing with a Sleeping giant #fact #justsaying
4525156,Dexter series finale! I feel like I could cry and vomit all at once. Favorite show ever and I'm sooooo sad this is the last one \ud83d\udc89\ud83d\udd2a\ud83d\udc94
4043009,@LindsoeBria I know right he's annoying. Lets play some pond
10677611,\u201c@SNFonNBC: The FG is good for the @colts. They lead the @DenverBroncos 36-17 #SNF\u201d peyton &amp;broncos need a real quick score. but prob over
6097091,I really wish I was watching the Patriots play the 49'ers right now #PatriotsNation
3888512,SO NERVOUS FOR TONIGHT HELP
7883127,@WillieYumm haha you guys made a ceremony out of it
6307195,Drumline best movie ever #truth
894971,Driving home from Victoria!
2694747,"REAL MEN COOK.  Spaghetti topped with brats smothered in onion, green &amp; yellow peppers and vodka sauce."
12306379,"@xthatSHANEdudex exactly then we lose to NC Central, then downhill from there."
5291611,Going to Coventry todayyy\ud83d\udc4c
7615099,I should really go give grant his tent back
8851017,Well my summer is officially over \ud83d\ude14\nTime for bed
3113807,"no, i will not take a bullet for you. 'cause if i have time to jump in front of it, you have time to move."
12530804,@tbnnr2 when is the nutrition paper due
2663950,When this is all said and done we leave our life on the line just like the company we keep.
3127039,Goodbye love! #movingon #wishingyougoodluck
4947322,Just texted @lisaaa_nicoleee the sweetest thing ever
6275978,Can't wait to run into my soldier's arms. &lt;3 @musikfunatik
8179123,"I just want to wake up in Boston, with a balcony overlooking the ocean."
1007412,@demi_jordan23 same I'm having anxiety about mine
8810897,I'm positive that I'm at the slowest @ChipotleTweets in the entire world right now.
5408218,I hope there comes a day where I can lay flat in a tanning bed
5690938,@patito_duckie \ud83d\udc81 whatever at least i made people laugh \ud83d\ude02 anyway that display of stupidity was due to the fact that i miss you! \ud83d\ude14
3271441,@ahlex_garseea Thats great baby!! Stick to the people with no drama!! Two more years make the best out if it!! Xoxo love you mamma \ud83d\udc99
7779136,Anything that is tacky. #ICant
8503903,@eclecticbrotha Thank you it is absolutely ridiculous how they have attacked this lady. #shameful
2334730,Larping is actually kind of cool
2821001,Rumor has it that the girls watched The Notebook during their session. @steubystl
11055050,"\u201c@JustinWeeter11: Everyone, I need to tell you something... I'm actually 5\""2. Sorry for the misconception everyone.\n#hopeoomfshappy\u201d \ud83d\ude02"
3919233,@bangbangwlc7 #rude
5300675,Someone tell Easley it's August so if the ball comes near him he may actually catch it. #bills
3189647,I really don't like pop. I'd so much rather drink water
6017909,I will have my wedding when it can be absolutely perfect and glamorous. There's no rush... For all tovar questioning the date
4315372,@megan_lown never heard of that and ive been down there more than half my life
1813358,Got everything done that I've been putting off for so long. It feels good. #WeightLifted
3982406,#MySaturdayNight is going to consist of the #Gym
11444976,UCLA my sleeper team to win it all this yr in college bball
4741127,@Rello_Lee everybody that watched that game Will never forget that play especially Derby fans.
11456663,The power of the STACHE!
7576258,"It's crazy to think that you were someone's mistake, and they are moving on and ready to treat someone better"
484041,I feel so much better about life when my hair isn't obnoxiously curly. #SleekAndStraight \ud83d\ude4c\ud83d\ude0f
2737450,@callieegurski @bran_mor21 @ethangurski @gurski19 Kenz no can drink for 18 months \ud83d\ude14
